City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Lasa,IT,2021-11-15 03:13:39,46.6166,10.7002,41.36,93,100,2.73
142,Ancud,CL,2021-11-15 03:13:39,-41.8697,-73.8203,44.42,83,100,17.67
143,Broken Hill,AU,2021-11-15 03:13:40,-31.95,141.4333,65.46,33,1,16.24
144,Gat,IL,2021-11-15 03:13:40,31.61,34.7642,67.91,38,69,5.99
145,Gillette,US,2021-11-15 03:13:41,44.2911,-105.5022,55.06,44,1,8.01
146,Puerto Ayora,EC,2021-11-15 03:13:41,-0.7393,-90.3518,67.48,82,49,8.84
147,Qaqortoq,GL,2021-11-15 03:13:42,60.7167,-46.0333,9.1,57,0,21.61
148,Pringsewu,ID,2021-11-15 03:13:42,-5.3582,104.9744,78.37,86,100,2.53
149,Bengkulu,ID,2021-11-15 03:13:43,-3.8004,102.2655,82.47,69,85,5.17
150,Qeshm,IR,2021-11-15 03:13:44,26.9581,56.2719,69.67,38,0,23.76
151,Buluang,PH,2021-11-15 03:13:44,13.3068,123.3425,88.66,61,36,2.04
152,Bow Island,CA,2021-11-15 03:13:44,49.8668,-111.3684,50.49,78,100,8.43
153,Ailigandi,PA,2021-11-15 03:13:45,9.2333,-78.0167,79.0,88,100,5.95
154,Aksu,CN,2021-11-15 03:13:45,41.1231,80.2644,37.47,41,93,1.59
155,Khani,GE,2021-11-15 03:13:46,41.9563,42.9566,38.77,53,100,2.86
156,Tuatapere,NZ,2021-11-15 03:13:46,-46.1333,167.6833,61.27,52,100,4.61
157,Chamba,IN,2021-11-15 03:13:47,32.5667,76.1333,58.98,26,0,5.48
158,Tagusao,PH,2021-11-15 03:13:47,9.1924,117.8141,84.94,67,89,0.51
159,Korla,CN,2021-11-15 03:13:48,41.7597,86.1469,34.81,41,58,3.8
160,Port Augusta,AU,2021-11-15 03:13:48,-32.5,137.7667,62.74,34,43,11.18
161,Santa Vitoria Do Palmar,BR,2021-11-15 03:11:37,-33.5189,-53.3681,63.54,93,43,5.41
162,Taltal,CL,2021-11-15 03:13:49,-25.4,-70.4833,61.14,78,19,2.95
163,Vostok,RU,2021-11-15 03:13:49,46.4856,135.8833,20.32,72,44,12.97
164,Santander Jimenez,MX,2021-11-15 03:13:50,24.2167,-98.4667,68.38,86,1,5.61
