City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
266,Payyannur,12.1,75.2,82.74,78,81,15.88,IN,broken clouds
267,Turbiv,49.3479,28.7212,32.52,86,90,8.95,UA,overcast clouds
268,Elat,29.5581,34.9482,62.44,63,20,0.0,IL,few clouds
269,Wesselsbron,-27.8549,26.3658,75.67,19,0,7.63,ZA,clear sky
270,Clarence Town,-32.5833,151.7833,71.06,43,7,11.27,AU,clear sky
271,Suleja,9.1758,7.1808,72.59,56,87,1.32,NG,overcast clouds
272,Inirida,3.8653,-67.9239,75.43,89,99,2.08,CO,overcast clouds
273,Seydisehir,37.4193,31.8453,47.73,39,0,3.29,TR,clear sky
274,Tuatapere,-46.1333,167.6833,50.72,73,100,11.1,NZ,overcast clouds
275,Mahebourg,-20.4081,57.7,82.26,69,75,11.5,MU,broken clouds
276,Moerai,-22.4333,-151.3333,77.83,82,99,4.05,PF,overcast clouds
277,Melilla,35.2937,-2.9383,50.38,81,0,2.3,ES,clear sky
278,Caravelas,-17.7125,-39.2481,74.03,73,100,9.42,BR,overcast clouds
279,Mount Gambier,-37.8333,140.7667,57.11,62,90,10.36,AU,overcast clouds
280,Cidreira,-30.1811,-50.2056,67.78,88,43,18.63,BR,scattered clouds
281,Pachino,36.7186,15.0907,60.84,77,2,4.05,IT,clear sky
282,Faro,37.0194,-7.9322,56.98,62,0,10.36,PT,clear sky
283,Atar,20.5169,-13.0499,76.5,33,100,5.53,MR,overcast clouds
284,Chokurdakh,70.6333,147.9167,9.54,96,100,4.21,RU,overcast clouds
285,Puerto Leguizamo,-0.1934,-74.7819,72.18,91,50,2.35,CO,scattered clouds
286,Ust-Kishert,57.3654,57.2495,18.23,85,98,15.66,RU,overcast clouds
287,Aklavik,68.2191,-135.0107,0.43,96,100,4.56,CA,overcast clouds
288,Beringovskiy,63.05,179.3167,28.18,96,100,10.98,RU,light snow
289,Cockburn Town,21.4612,-71.1419,81.99,71,82,15.73,TC,broken clouds
290,Victoria,22.2855,114.1577,80.96,66,94,1.99,HK,overcast clouds
291,Hithadhoo,-0.6,73.0833,82.85,71,56,15.9,MV,broken clouds
292,Santa Isabel Do Rio Negro,-0.4139,-65.0192,75.18,90,97,2.13,BR,overcast clouds
293,Padang,-0.9492,100.3543,87.85,57,62,5.91,ID,broken clouds
294,Havelock,34.8791,-76.9013,48.92,80,5,0.87,US,clear sky
295,Puerto Gaitan,4.3133,-72.0816,75.45,69,70,7.09,CO,broken clouds
296,Tieling,42.2931,123.8414,41.47,54,1,7.76,CN,clear sky
297,Belaya Gora,68.5333,146.4167,3.6,97,100,1.57,RU,light snow
298,Ouadda,8.0777,22.4007,71.73,59,54,1.95,CF,broken clouds
299,Marzuq,14.4,46.4667,73.35,23,7,2.3,YE,clear sky
300,Olafsvik,64.8945,-23.7142,41.45,68,100,17.13,IS,overcast clouds
301,Saint-Pierre,-21.3393,55.4781,83.84,65,0,10.36,RE,clear sky
302,Acarau,-2.8856,-40.12,80.49,74,44,13.53,BR,scattered clouds
303,Kiama,-34.6833,150.8667,66.0,47,15,10.76,AU,few clouds
304,Matagami,49.7502,-77.6328,26.71,100,90,6.91,CA,light snow
305,Sananduva,-27.9497,-51.8067,64.33,77,98,6.58,BR,overcast clouds
306,Calabar,4.9517,8.322,75.78,93,98,1.07,NG,light rain
307,Barinas,8.6226,-70.2075,74.89,64,71,3.78,VE,broken clouds
308,Broome,42.2506,-75.833,35.83,77,75,4.0,US,broken clouds
309,Badarganj,25.674,89.0549,79.74,47,2,4.83,BD,clear sky
310,San Rafael,-34.6177,-68.3301,53.2,21,0,15.82,AR,clear sky
311,Aleysk,52.4926,82.7822,27.91,88,100,7.47,RU,light snow
312,Omboue,-1.5746,9.2618,78.15,88,80,6.93,GA,broken clouds
313,Kazerun,29.6195,51.6541,68.67,31,18,3.06,IR,few clouds
314,Hokitika,-42.7167,170.9667,52.74,81,97,19.55,NZ,overcast clouds
315,Melbourne,28.0836,-80.6081,60.98,87,1,4.61,US,clear sky
316,Marshall,34.3834,-86.3333,53.31,65,1,6.91,US,clear sky
317,Omsukchan,62.5333,155.8,8.49,96,100,6.67,RU,overcast clouds
318,Ternate,0.8,127.4,84.11,68,100,6.64,ID,light rain
319,Lyaskelya,61.7667,31.0167,38.57,87,100,11.86,RU,overcast clouds
320,Dorfen,48.2667,12.15,39.92,97,99,4.27,DE,overcast clouds
321,Kabompo,-13.5927,24.2008,73.13,67,94,4.29,ZM,overcast clouds
