City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
615,Bontang,ID,83.01,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
617,Tezu,IN,80.02,clear sky,27.9167,96.1667,Circuit House
624,Gigmoto,PH,82.54,overcast clouds,13.7796,124.39,Cj's Travellers Inn
637,Tabuk,PH,84.22,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
638,Bela,IN,78.13,clear sky,25.9333,81.9833,Raj Bhawan
643,Umm Lajj,SA,77.23,clear sky,25.0213,37.2685,Moon light Furnished Units
644,Sinnamary,GF,77.38,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
645,Ugoofaaru,MV,81.77,overcast clouds,5.6667,73.0,Ungoofaaru Inn
646,Tevaitoa,PF,80.56,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
647,Bodden Town,KY,79.0,overcast clouds,19.2833,-81.25,Will T Place
653,Mackay,AU,86.68,broken clouds,-21.15,149.2,International Lodge Motel
655,Inhambane,MZ,82.02,clear sky,-23.865,35.3833,Oceano
657,Nabire,ID,81.7,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
659,Miri,MY,84.74,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
660,Sehithwa,BW,86.59,scattered clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
665,Maxixe,MZ,82.8,clear sky,-23.8597,35.3472,Oceano
667,Matara,LK,82.08,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
669,Lingao,CN,75.61,broken clouds,19.9103,109.6859,Lingao Ditai Inn
676,Floriano,BR,75.61,scattered clouds,-6.7669,-43.0225,Hotel Maktub
680,Lalmohan,BD,80.4,few clouds,22.3384,90.7419,Sundorbon courier service
690,Sinjai,ID,78.53,overcast clouds,-5.1241,120.253,Wisma Sandika
691,Garowe,SO,76.24,scattered clouds,8.4054,48.4845,Curubo Hotel
696,Aloleng,PH,88.09,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
702,Tanda,IN,78.49,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
703,Kerema,PG,83.21,overcast clouds,-7.9631,145.7785,Frena Lodge
705,Pueu,PF,80.62,light rain,-17.7333,-149.2167,HOTEL PUEU VILLAGE
708,Byron Bay,AU,79.72,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
712,Jiwani,PK,77.4,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
714,Vao,NC,76.77,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
